Training Type,Fraction of Training Data,AUC
Standard,0.1,0.5888888888888889
Parameter Sharing,0.1,0.6158730158730159
Metalearning,0.1,0.6007936507936508
Standard,0.1,0.5189144736842105
Parameter Sharing,0.1,0.6735197368421052
Metalearning,0.1,0.5822368421052633
Standard,0.1,0.4178571428571429
Parameter Sharing,0.1,0.6026785714285715
Metalearning,0.1,0.6375000000000001
Standard,0.1,0.5387096774193548
Parameter Sharing,0.1,0.5338709677419355
Metalearning,0.1,0.5064516129032257
Standard,0.1,0.45847750865051895
Parameter Sharing,0.1,0.5008650519031141
Metalearning,0.1,0.4723183391003459
Standard,0.15000000000000002,0.5587301587301587
Parameter Sharing,0.15000000000000002,0.5793650793650794
Metalearning,0.15000000000000002,0.5230158730158729
Standard,0.15000000000000002,0.3462171052631579
Parameter Sharing,0.15000000000000002,0.6192434210526316
Metalearning,0.15000000000000002,0.6332236842105263
Standard,0.15000000000000002,0.5410714285714285
Parameter Sharing,0.15000000000000002,0.6017857142857143
Metalearning,0.15000000000000002,0.6339285714285714
Standard,0.15000000000000002,0.4911290322580645
Parameter Sharing,0.15000000000000002,0.4233870967741936
Metalearning,0.15000000000000002,0.6338709677419354
Standard,0.15000000000000002,0.3892733564013841
Parameter Sharing,0.15000000000000002,0.5674740484429066
Metalearning,0.15000000000000002,0.4619377162629757
Standard,0.2,0.37222222222222223
Parameter Sharing,0.2,0.534920634920635
Metalearning,0.2,0.5190476190476191
Standard,0.2,0.4925986842105263
Parameter Sharing,0.2,0.5213815789473684
Metalearning,0.2,0.37746710526315785
Standard,0.2,0.58125
Parameter Sharing,0.2,0.5107142857142857
Metalearning,0.2,0.6107142857142858
Standard,0.2,0.4951612903225807
Parameter Sharing,0.2,0.4346774193548387
Metalearning,0.2,0.5016129032258064
Standard,0.2,0.4982698961937716
Parameter Sharing,0.2,0.5008650519031143
Metalearning,0.2,0.4922145328719722
Standard,0.25,0.692063492063492
Parameter Sharing,0.25,0.6015873015873016
Metalearning,0.25,0.4753968253968254
Standard,0.25,0.5254934210526316
Parameter Sharing,0.25,0.6389802631578947
Metalearning,0.25,0.6348684210526316
Standard,0.25,0.4839285714285714
Parameter Sharing,0.25,0.5410714285714286
Metalearning,0.25,0.5723214285714285
Standard,0.25,0.6072580645161291
Parameter Sharing,0.25,0.5403225806451614
Metalearning,0.25,0.4717741935483871
Standard,0.25,0.4282006920415225
Parameter Sharing,0.25,0.4610726643598616
Metalearning,0.25,0.4835640138408305
Standard,0.30000000000000004,0.5269841269841271
Parameter Sharing,0.30000000000000004,0.5
Metalearning,0.30000000000000004,0.5507936507936508
Standard,0.30000000000000004,0.4481907894736841
Parameter Sharing,0.30000000000000004,0.5822368421052632
Metalearning,0.30000000000000004,0.6398026315789473
Standard,0.30000000000000004,0.5535714285714286
Parameter Sharing,0.30000000000000004,0.5651785714285714
Metalearning,0.30000000000000004,0.5732142857142857
Standard,0.30000000000000004,0.4016129032258065
Parameter Sharing,0.30000000000000004,0.5185483870967742
Metalearning,0.30000000000000004,0.4556451612903226
Standard,0.30000000000000004,0.6617647058823529
Parameter Sharing,0.30000000000000004,0.5501730103806228
Metalearning,0.30000000000000004,0.4818339100346021
Standard,0.35,0.6269841269841271
Parameter Sharing,0.35,0.5190476190476191
Metalearning,0.35,0.4841269841269842
Standard,0.35,0.4383223684210527
Parameter Sharing,0.35,0.6019736842105263
Metalearning,0.35,0.6258223684210527
Standard,0.35,0.5151785714285715
Parameter Sharing,0.35,0.5633928571428571
Metalearning,0.35,0.6089285714285715
Standard,0.35,0.4443548387096775
Parameter Sharing,0.35,0.4362903225806452
Metalearning,0.35,0.5508064516129033
Standard,0.35,0.4688581314878893
Parameter Sharing,0.35,0.5519031141868512
Metalearning,0.35,0.5813148788927336
Standard,0.4,0.4126984126984128
Parameter Sharing,0.4,0.4928571428571429
Metalearning,0.4,0.5253968253968253
Standard,0.4,0.5962171052631579
Parameter Sharing,0.4,0.6241776315789473
Metalearning,0.4,0.5986842105263158
Standard,0.4,0.4196428571428572
Parameter Sharing,0.4,0.5455357142857142
Metalearning,0.4,0.4705357142857143
Standard,0.4,0.5387096774193548
Parameter Sharing,0.4,0.4588709677419354
Metalearning,0.4,0.3758064516129032
Standard,0.4,0.4896193771626298
Parameter Sharing,0.4,0.5579584775086505
Metalearning,0.4,0.6064013840830449
Standard,0.4500000000000001,0.5968253968253969
Parameter Sharing,0.4500000000000001,0.4817460317460318
Metalearning,0.4500000000000001,0.5111111111111111
Standard,0.4500000000000001,0.4925986842105263
Parameter Sharing,0.4500000000000001,0.6546052631578948
Metalearning,0.4500000000000001,0.5707236842105263
Standard,0.4500000000000001,0.5
Parameter Sharing,0.4500000000000001,0.5678571428571428
Metalearning,0.4500000000000001,0.5678571428571428
Standard,0.4500000000000001,0.4701612903225806
Parameter Sharing,0.4500000000000001,0.5661290322580645
Metalearning,0.4500000000000001,0.5362903225806451
Standard,0.4500000000000001,0.5190311418685122
Parameter Sharing,0.4500000000000001,0.6366782006920415
Metalearning,0.4500000000000001,0.6401384083044983
Standard,0.5,0.5206349206349208
Parameter Sharing,0.5,0.476984126984127
Metalearning,0.5,0.5023809523809524
Standard,0.5,0.4876644736842106
Parameter Sharing,0.5,0.609375
Metalearning,0.5,0.6570723684210527
Standard,0.5,0.4803571428571429
Parameter Sharing,0.5,0.5625
Metalearning,0.5,0.6178571428571429
Standard,0.5,0.4798387096774193
Parameter Sharing,0.5,0.4951612903225807
Metalearning,0.5,0.4903225806451613
Standard,0.5,0.4550173010380623
Parameter Sharing,0.5,0.592560553633218
Metalearning,0.5,0.6245674740484429
Standard,0.55,0.6206349206349207
Parameter Sharing,0.55,0.6007936507936508
Metalearning,0.55,0.5063492063492063
Standard,0.55,0.6373355263157895
Parameter Sharing,0.55,0.584703947368421
Metalearning,0.55,0.6134868421052632
Standard,0.55,0.5616071428571429
Parameter Sharing,0.55,0.5678571428571428
Metalearning,0.55,0.6508928571428572
Standard,0.55,0.4241935483870968
Parameter Sharing,0.55,0.5290322580645161
Metalearning,0.55,0.5056451612903226
Standard,0.55,0.42560553633218
Parameter Sharing,0.55,0.6401384083044983
Metalearning,0.55,0.5925605536332179
Standard,0.6,0.6103174603174604
Parameter Sharing,0.6,0.6023809523809525
Metalearning,0.6,0.5222222222222221
Standard,0.6,0.5879934210526315
Parameter Sharing,0.6,0.6036184210526315
Metalearning,0.6,0.6299342105263158
Standard,0.6,0.3642857142857143
Parameter Sharing,0.6,0.5410714285714285
Metalearning,0.6,0.5571428571428572
Standard,0.6,0.5330645161290322
Parameter Sharing,0.6,0.4959677419354839
Metalearning,0.6,0.5370967741935484
Standard,0.6,0.3737024221453288
Parameter Sharing,0.6,0.6133217993079585
Metalearning,0.6,0.5821799307958477
Standard,0.65,0.4873015873015873
Parameter Sharing,0.65,0.5619047619047619
Metalearning,0.65,0.6365079365079366
Standard,0.65,0.4958881578947368
Parameter Sharing,0.65,0.6175986842105262
Metalearning,0.65,0.7286184210526316
Standard,0.65,0.39196428571428577
Parameter Sharing,0.65,0.5571428571428572
Metalearning,0.65,0.5017857142857143
Standard,0.65,0.44112903225806455
Parameter Sharing,0.65,0.4951612903225806
Metalearning,0.65,0.5185483870967742
Standard,0.65,0.5086505190311419
Parameter Sharing,0.65,0.6868512110726643
Metalearning,0.65,0.5847750865051904
Standard,0.7000000000000001,0.4031746031746032
Parameter Sharing,0.7000000000000001,0.5626984126984127
Metalearning,0.7000000000000001,0.5992063492063493
Standard,0.7000000000000001,0.5600328947368421
Parameter Sharing,0.7000000000000001,0.6101973684210525
Metalearning,0.7000000000000001,0.671875
Standard,0.7000000000000001,0.45
Parameter Sharing,0.7000000000000001,0.5455357142857142
Metalearning,0.7000000000000001,0.6535714285714286
Standard,0.7000000000000001,0.43387096774193545
Parameter Sharing,0.7000000000000001,0.5443548387096774
Metalearning,0.7000000000000001,0.4475806451612903
Standard,0.7000000000000001,0.4705882352941176
Parameter Sharing,0.7000000000000001,0.6237024221453288
Metalearning,0.7000000000000001,0.592560553633218
Standard,0.75,0.4706349206349207
Parameter Sharing,0.75,0.5468253968253969
Metalearning,0.75,0.5793650793650794
Standard,0.75,0.5682565789473685
Parameter Sharing,0.75,0.5921052631578948
Metalearning,0.75,0.5164473684210527
Standard,0.75,0.3705357142857143
Parameter Sharing,0.75,0.4392857142857142
Standard,0.75,0.45555555555555555
Parameter Sharing,0.75,0.5634920634920635
Metalearning,0.75,0.4936507936507937
Standard,0.75,0.46463815789473684
Parameter Sharing,0.75,0.560032894736842
Metalearning,0.75,0.6110197368421053
Standard,0.75,0.5107142857142857
Parameter Sharing,0.75,0.4830357142857143
Metalearning,0.75,0.6357142857142857
Standard,0.75,0.392741935483871
Parameter Sharing,0.75,0.47822580645161294
Metalearning,0.75,0.4766129032258064
Standard,0.75,0.4463667820069204
Parameter Sharing,0.75,0.6211072664359862
Metalearning,0.75,0.5899653979238755
Standard,0.8,0.33571428571428574
Parameter Sharing,0.8,0.5555555555555556
Metalearning,0.8,0.5746031746031747
Standard,0.8,0.4893092105263158
Parameter Sharing,0.8,0.5814144736842106
Metalearning,0.8,0.660361842105263
Standard,0.8,0.4482142857142857
Parameter Sharing,0.8,0.42946428571428563
Metalearning,0.8,0.5544642857142856
Standard,0.8,0.46209677419354844
Parameter Sharing,0.8,0.4419354838709677
Metalearning,0.8,0.5040322580645161
Standard,0.8,0.4013840830449827
Parameter Sharing,0.8,0.6557093425605536
Metalearning,0.8,0.6124567474048442
Standard,0.85,0.573015873015873
Parameter Sharing,0.85,0.5626984126984127
Metalearning,0.85,0.5293650793650794
Standard,0.85,0.5452302631578947
Parameter Sharing,0.85,0.5789473684210527
Metalearning,0.85,0.6060855263157895
Standard,0.85,0.5089285714285715
Parameter Sharing,0.85,0.49196428571428574
Metalearning,0.85,0.6116071428571428
Standard,0.85,0.6185483870967742
Parameter Sharing,0.85,0.4161290322580645
Metalearning,0.85,0.4056451612903226
Standard,0.85,0.6115916955017301
Parameter Sharing,0.85,0.6202422145328719
Metalearning,0.85,0.592560553633218
Standard,0.9,0.4904761904761905
Parameter Sharing,0.9,0.5523809523809524
Metalearning,0.9,0.5246031746031746
Standard,0.9,0.3963815789473684
Parameter Sharing,0.9,0.5764802631578947
Metalearning,0.9,0.6143092105263158
Standard,0.9,0.5
Parameter Sharing,0.9,0.4517857142857143
Metalearning,0.9,0.6133928571428572
Standard,0.9,0.6879032258064516
Parameter Sharing,0.9,0.44354838709677413
Metalearning,0.9,0.48870967741935484
Standard,0.9,0.370242214532872
Parameter Sharing,0.9,0.5986159169550174
Metalearning,0.9,0.5804498269896193
